comment_no	user_id_no	contents	reg_time	sympathy_count	antipathy_count
1872146853	cky7****	깝도아닌 여론조사 찌라시에 선동 오지게하네	2019-10-01T19:55:15+0900	0	0
1872139953	drea****	피식. 리얼 미터라.. 다른데보다 항상 문프 지지율 5프로는 높게 나오는거기? 이낙연 지지율 깍아먹고  잘하는 짓이다. 역시 입법부에서 하는 검찰 개혁에 왜 죽어라 조국을 앉히나 했더니  업적세워서  훈장 달아주기였네.  국민이 장님으로  보이냐?   지금 야당이 하도 엉망이니 누가 나와도 대통령 당선된다고 생각하는 모양인데  그래도 조로남불은 아니지.	2019-10-01T19:48:42+0900	1	1
1872139183	aliv****	황교안 ㅊㅋㅊㅋ 차기 대통령이지	2019-10-01T19:47:50+0900	1	3
1872128103	gada****	거짓말쟁이가 대선???  미친겅냐???  차라리 허경영을 데려와라	2019-10-01T19:36:46+0900	2	0
1872125333	arm2****	조국이 무슨 대선주자? 사시캔트패스가!	2019-10-01T19:34:24+0900	0	0
1872116323	gu94****	법무부장관조국이 아니라 차기대선후보 조국이 무서운거지 한나라당 입장에서는 물고뜯고씹고 끝까지 갈수박에없음...대선은 꿈도못꾸게 흠집내고 싹을 잘라놔야함.	2019-10-01T19:26:51+0900	3	1
1872111533	tjdt****	기사내려주세요ㆍㄱ눔아ㆍ	2019-10-01T19:23:07+0900	0	0
1872104733	wyww****	전라도에 전화하지말거라.. 나 한번도 전화 안주더라...ㅅㅍ 그리고 조국 키울거면 안철수가 좋다...인간들아..아니구나  전라도님들아.....	2019-10-01T19:17:41+0900	0	0
1872101973	news****	나라꼴 잘돌아간다 ..  개돼지 국민들이 나라를 망치는구나 ..  바보나 OOO 아닌다음에야 조국을 대통령감으로 .. 13% ??...  좌빨 이념 선동 거짓말 정권 때문에 대한민국이 망하는구나 ..  군사 쿠테타나 나라 ..  저것들 싹 조지게 ..	2019-10-01T19:15:21+0900	1	0
1872086203	sooh****	정권초에 특수부 폐지하지말라고 한 인간이 조국 민정수석. 지수사 시작하니까 특수부폐지가 검찰개혁이래.ㅋㅋㅋㅋ	2019-10-01T19:03:29+0900	2	1
1872077043	gold****	개가  웃는다 하하하  조국 대통령후보 3위  나라가 근본이 무너지는 소리	2019-10-01T18:55:13+0900	4	3
1872075933	zeni****	안철수 차기 대통령 ♡♡♡♡♡♡♡♡	2019-10-01T18:54:05+0900	3	0
1872059163	yjkl****	그 나물이 그나물인데 누굴 뽑아야 하나ㅠㅠ  특히 황교안 조국이	2019-10-01T18:40:09+0900	0	2
